location,cause,year,val
Montenegro,Leukemia,1991,28.70806075
Montenegro,Cardiovascular diseases,1991,2303.069652
Republic of Moldova,Chronic respiratory diseases,1993,1887.997006
Ireland,Chronic respiratory diseases,1991,2312.046246
Finland,Chronic respiratory diseases,1992,1269.589367
Luxembourg,Cardiovascular diseases,1990,1685.439747
Luxembourg,Chronic respiratory diseases,1990,176.3908033
Poland,Respiratory infections and tuberculosis,1991,9053.760851
UK,Respiratory infections and tuberculosis,1992,41107.92592
Austria,Mesothelioma,1990,67.68704111
Austria,Leukemia,1990,586.6477414
Austria,Cardiovascular diseases,1990,39784.75838
Finland,Mesothelioma,1992,63.75213942
Czechia,Chronic respiratory diseases,1992,2692.545291
Montenegro,Respiratory infections and tuberculosis,1991,61.63170729
Greece,Cardiovascular diseases,1991,46303.99091
Lithuania,Chronic respiratory diseases,1993,1479.252281
Finland,Leukemia,1992,346.1903651
Finland,Cardiovascular diseases,1992,24416.72092
Greece,Chronic respiratory diseases,1991,2608.889475
San Marino,Chronic respiratory diseases,1992,5.339556827
Bulgaria,Respiratory infections and tuberculosis,1993,4120.755175
Slovakia,Mesothelioma,1990,11.81683534
Slovakia,Leukemia,1990,320.2743682
San Marino,Leukemia,1992,2.831898477
San Marino,Cardiovascular diseases,1992,59.22873047
Bos&Herz,Respiratory infections and tuberculosis,1993,901.7615581
Slovakia,Cardiovascular diseases,1990,28927.19218
Austria,Respiratory infections and tuberculosis,1993,1366.788567
Sweden,Mesothelioma,1993,127.969818
Sweden,Leukemia,1993,720.5827011
Belarus,Mesothelioma,1990,39.28393486
Belarus,Leukemia,1990,850.8822903
Belarus,Respiratory infections and tuberculosis,1990,1698.086249
Albania,Respiratory infections and tuberculosis,1990,2204.371441
Serbia,Mesothelioma,1990,20.18894172
France,Mesothelioma,1992,853.8776104
Spain,Cardiovascular diseases,1993,122778.6159
Ukraine,Chronic respiratory diseases,1992,35844.42826
Malta,Mesothelioma,1990,3.559255403
Malta,Leukemia,1990,21.32335786
Poland,Chronic respiratory diseases,1991,14503.28711
Sweden,Cardiovascular diseases,1993,46140.16113
Italy,Respiratory infections and tuberculosis,1990,9644.409759
Sweden,Respiratory infections and tuberculosis,1993,4479.654313
Czechia,Chronic respiratory diseases,1993,2477.437605
Hungary,Mesothelioma,1992,32.3667897
Montenegro,Chronic respiratory diseases,1991,52.34679973
Republic of Moldova,Mesothelioma,1993,5.514791242
Republic of Moldova,Leukemia,1993,228.9786172
Iceland,Chronic respiratory diseases,1991,71.40830467
Finland,Mesothelioma,1993,64.36667247
Finland,Leukemia,1993,346.4274836
Finland,Cardiovascular diseases,1993,24274.38875
Monaco,Chronic respiratory diseases,1992,15.58808647
Belgium,Respiratory infections and tuberculosis,1993,3890.863359
Sweden,Chronic respiratory diseases,1993,2744.155916
UK,Leukemia,1992,4741.45347
UK,Cardiovascular diseases,1992,282816.2491
Serbia,Leukemia,1990,562.4610699
UK,Chronic respiratory diseases,1992,37908.67858
Spain,Respiratory infections and tuberculosis,1993,9651.536387
Malta,Cardiovascular diseases,1990,1325.20441
Bulgaria,Leukemia,1993,452.3367139
Bulgaria,Cardiovascular diseases,1993,78936.80503
Ukraine,Mesothelioma,1993,336.2231344
Ukraine,Leukemia,1993,4647.060172
Bulgaria,Chronic respiratory diseases,1993,3761.567187
Croatia,Chronic respiratory diseases,1993,1250.982314
France,Leukemia,1992,5164.144272
France,Cardiovascular diseases,1992,167291.4031
Czechia,Mesothelioma,1992,38.14374066
Czechia,Leukemia,1992,884.5181495
Czechia,Cardiovascular diseases,1992,65915.36937
Romania,Mesothelioma,1991,49.29938034
Romania,Leukemia,1991,1054.531248
Romania,Cardiovascular diseases,1991,139960.1144
France,Respiratory infections and tuberculosis,1992,20990.47458
Malta,Respiratory infections and tuberculosis,1990,95.87677216
Iceland,Leukemia,1991,13.36741539
Iceland,Cardiovascular diseases,1991,764.5288465
Malta,Chronic respiratory diseases,1990,106.1748619
Republic of Moldova,Respiratory infections and tuberculosis,1993,1394.086609
Iceland,Mesothelioma,1991,2.074409481
Netherlands,Mesothelioma,1990,364.7349329
Netherlands,Leukemia,1990,1007.056717
Hungary,Leukemia,1992,944.7803448
Hungary,Cardiovascular diseases,1992,73051.93987
Serbia,Respiratory infections and tuberculosis,1990,1713.967316
