location,cause,year,val
Estonia,Chronic respiratory diseases,1997,283.6275073
Spain,Chronic respiratory diseases,1991,23295.47588
Belarus,Cardiovascular diseases,1994,72224.35762
Portugal,Leukemia,1992,759.5043337
Portugal,Cardiovascular diseases,1992,45246.20665
Ireland,Chronic respiratory diseases,1993,2394.35216
Estonia,Mesothelioma,1991,2.663560121
Andorra,Cardiovascular diseases,1993,78.8464447
Norway,Respiratory infections and tuberculosis,1992,3059.525173
North Macedonia,Respiratory infections and tuberculosis,1990,487.2957853
Andorra,Chronic respiratory diseases,1993,18.83259695
UK,Leukemia,2000,5033.828789
UK,Cardiovascular diseases,2000,239565.2157
Croatia,Chronic respiratory diseases,1991,1246.242959
Ireland,Mesothelioma,1994,34.42539094
Ireland,Leukemia,1994,239.7330859
Ireland,Cardiovascular diseases,1994,13460.52661
Sweden,Respiratory infections and tuberculosis,1995,4200.640639
Montenegro,Chronic respiratory diseases,1999,64.85278654
Slovenia,Chronic respiratory diseases,1992,692.9335932
Andorra,Cardiovascular diseases,2002,107.4177465
Andorra,Chronic respiratory diseases,2002,25.85463362
Luxembourg,Chronic respiratory diseases,2002,180.7202496
Latvia,Chronic respiratory diseases,1993,732.9867096
Hungary,Mesothelioma,1990,30.45247736
Slovenia,Mesothelioma,1993,11.52501331
Slovenia,Leukemia,1993,129.2778727
Slovenia,Cardiovascular diseases,1993,8144.320743
Cyprus,Respiratory infections and tuberculosis,1990,150.3419657
Belgium,Respiratory infections and tuberculosis,1992,3750.939735
Belgium,Mesothelioma,1992,163.8559624
Belgium,Leukemia,1992,1036.209036
Belgium,Cardiovascular diseases,1992,38686.83604
Belarus,Chronic respiratory diseases,1994,6635.603624
Andorra,Mesothelioma,1999,1.348514573
Cyprus,Chronic respiratory diseases,1998,369.9596873
Ireland,Respiratory infections and tuberculosis,1993,2026.266898
Finland,Chronic respiratory diseases,1991,1246.600951
Belgium,Respiratory infections and tuberculosis,2001,5429.13468
Slovakia,Respiratory infections and tuberculosis,1992,2808.404422
Monaco,Mesothelioma,2000,0.801411673
Monaco,Leukemia,2000,7.630280416
Monaco,Cardiovascular diseases,2000,178.3810183
Ukraine,Mesothelioma,2000,356.5948147
Ukraine,Leukemia,2000,4159.826698
Ukraine,Cardiovascular diseases,2000,444887.7656
Estonia,Respiratory infections and tuberculosis,1991,319.1670638
Slovenia,Mesothelioma,2002,22.65656247
Slovenia,Leukemia,2002,146.1846346
Slovenia,Cardiovascular diseases,2002,7058.001462
Netherlands,Cardiovascular diseases,1992,50476.98284
Czechia,Chronic respiratory diseases,1991,2878.963861
Finland,Mesothelioma,2000,72.28861602
Spain,Respiratory infections and tuberculosis,1997,10306.50854
Andorra,Cardiovascular diseases,1992,74.18857555
Andorra,Chronic respiratory diseases,1992,17.77080574
Latvia,Leukemia,2001,196.6720587
Latvia,Cardiovascular diseases,2001,18681.62086
Portugal,Chronic respiratory diseases,1992,4668.808786
Latvia,Chronic respiratory diseases,1994,753.3308348
Iceland,Leukemia,1999,14.24649951
Iceland,Cardiovascular diseases,1999,735.0111626
UK,Chronic respiratory diseases,1996,38811.97848
Romania,Respiratory infections and tuberculosis,1998,10614.12286
Switzerland,Respiratory infections and tuberculosis,1991,2665.070093
Finland,Chronic respiratory diseases,1990,1253.122784
Czechia,Mesothelioma,2000,38.96110514
Netherlands,Mesothelioma,1994,387.6144568
Netherlands,Leukemia,1994,1065.059941
Netherlands,Cardiovascular diseases,1994,50559.77466
Estonia,Mesothelioma,1992,2.721392198
Ireland,Respiratory infections and tuberculosis,1995,2186.790677
Portugal,Chronic respiratory diseases,2001,5579.537821
Croatia,Cardiovascular diseases,1997,26532.25687
Netherlands,Respiratory infections and tuberculosis,1992,4773.213622
Bulgaria,Leukemia,2002,429.7634156
Bulgaria,Cardiovascular diseases,2002,85570.92823
Hungary,Leukemia,1990,917.1920577
Hungary,Cardiovascular diseases,1990,71985.78907
Finland,Leukemia,2000,347.7448883
Finland,Cardiovascular diseases,2000,22508.25852
Czechia,Mesothelioma,1990,39.55867241
Italy,Cardiovascular diseases,1993,226276.0668
Hungary,Respiratory infections and tuberculosis,1990,1939.20136
Poland,Mesothelioma,1999,79.09039277
Poland,Leukemia,1999,2766.139644
Poland,Cardiovascular diseases,1999,181198.5965
Italy,Chronic respiratory diseases,1993,24214.05549
Slovakia,Chronic respiratory diseases,1994,907.9292626
Slovenia,Respiratory infections and tuberculosis,1993,576.7909452
Malta,Respiratory infections and tuberculosis,1992,103.1925774
Austria,Respiratory infections and tuberculosis,2002,1227.679402
Slovakia,Mesothelioma,1995,11.55607052
UK,Chronic respiratory diseases,2000,40521.81665
Monaco,Respiratory infections and tuberculosis,2000,22.1916054
Estonia,Leukemia,1992,134.5073396
Estonia,Cardiovascular diseases,1992,11119.6784
Poland,Respiratory infections and tuberculosis,1996,8582.232596
Belgium,Respiratory infections and tuberculosis,1991,3640.523224
Sweden,Mesothelioma,1991,126.9609099
Sweden,Leukemia,1991,705.9028999
Sweden,Cardiovascular diseases,1991,46644.50566
Austria,Chronic respiratory diseases,1994,2410.480124
Albania,Mesothelioma,1993,2.665577607
Albania,Leukemia,1993,118.0731095
Albania,Cardiovascular diseases,1993,6479.919945
Andorra,Leukemia,1999,5.548361212
Czechia,Leukemia,2000,906.9335835
Czechia,Cardiovascular diseases,2000,57137.08624
Germany,Chronic respiratory diseases,1997,35629.90786
Croatia,Mesothelioma,2001,42.97178749
Croatia,Leukemia,2001,329.133094
Croatia,Cardiovascular diseases,2001,25477.35475
Czechia,Leukemia,1990,914.4010762
Czechia,Cardiovascular diseases,1990,70923.46019
Netherlands,Respiratory infections and tuberculosis,1994,5735.347148
Lithuania,Mesothelioma,1994,16.28569913
Lithuania,Leukemia,1994,322.3095897
Lithuania,Cardiovascular diseases,1994,24268.06957
France,Mesothelioma,1990,835.4643206
Luxembourg,Mesothelioma,1993,4.660477457
Denmark,Mesothelioma,1998,83.73411472
Denmark,Leukemia,1998,509.4869772
Monaco,Leukemia,1994,6.119401753
Monaco,Cardiovascular diseases,1994,205.1937795
Sweden,Respiratory infections and tuberculosis,1991,4472.454327
Spain,Chronic respiratory diseases,1992,23463.35711
France,Leukemia,1990,5121.068868
France,Cardiovascular diseases,1990,172185.7263
Albania,Chronic respiratory diseases,1994,854.9041586
Latvia,Mesothelioma,1997,7.794369046
Latvia,Leukemia,1997,199.2404771
Latvia,Cardiovascular diseases,1997,18699.81697
Slovakia,Leukemia,1995,311.9371222
Slovakia,Cardiovascular diseases,1995,27596.55175
Andorra,Mesothelioma,1994,1.161020415
Andorra,Leukemia,1994,4.922579606
Netherlands,Chronic respiratory diseases,1994,7643.954584
Monaco,Respiratory infections and tuberculosis,1994,17.77067102
Slovenia,Mesothelioma,1994,11.51061634
Slovenia,Leukemia,1994,131.946733
Slovenia,Cardiovascular diseases,1994,8054.66798
Estonia,Respiratory infections and tuberculosis,1992,333.2549014
Bulgaria,Chronic respiratory diseases,2002,3426.564899
Montenegro,Chronic respiratory diseases,1990,53.94056282
Luxembourg,Leukemia,1998,42.46612106
Denmark,Cardiovascular diseases,2001,20761.8628
Italy,Cardiovascular diseases,1995,225869.2897
Malta,Respiratory infections and tuberculosis,2002,159.9407014
Switzerland,Chronic respiratory diseases,1997,2658.800088
Switzerland,Chronic respiratory diseases,1991,2567.506527
Luxembourg,Leukemia,1993,41.11486968
Luxembourg,Cardiovascular diseases,1993,1609.258541
Estonia,Mesothelioma,1994,3.430762668
Cyprus,Chronic respiratory diseases,2002,356.3394029
France,Respiratory infections and tuberculosis,1990,20159.85654
Ireland,Respiratory infections and tuberculosis,1999,2422.620185
Andorra,Respiratory infections and tuberculosis,1999,10.02173927
Estonia,Respiratory infections and tuberculosis,1994,463.2593898
Estonia,Leukemia,2002,120.0774938
Estonia,Cardiovascular diseases,2002,9826.466106
Spain,Respiratory infections and tuberculosis,2001,11113.46223
Finland,Mesothelioma,1991,63.05647719
Finland,Leukemia,1991,342.5702095
Finland,Cardiovascular diseases,1991,24334.22702
Denmark,Respiratory infections and tuberculosis,1998,1804.40895
Czechia,Respiratory infections and tuberculosis,2000,2653.579048
Latvia,Mesothelioma,1993,7.466385765
Slovakia,Chronic respiratory diseases,1998,973.3083735
Sweden,Mesothelioma,1992,127.8078887
Sweden,Leukemia,1992,716.1771759
Sweden,Cardiovascular diseases,1992,46245.16813
Luxembourg,Cardiovascular diseases,1998,1489.243989
Luxembourg,Chronic respiratory diseases,1998,184.2710991
Belgium,Mesothelioma,1994,167.6279873
Belgium,Leukemia,1994,1044.810154
Belgium,Cardiovascular diseases,1994,37783.70409
Luxembourg,Leukemia,1994,40.68499716
Luxembourg,Cardiovascular diseases,1994,1572.665049
Ukraine,Respiratory infections and tuberculosis,2001,14439.09092
France,Respiratory infections and tuberculosis,2000,21776.86015
UK,Leukemia,1991,4718.36912
North Macedonia,Leukemia,1997,104.775201
North Macedonia,Cardiovascular diseases,1997,11095.90034
UK,Cardiovascular diseases,1991,287056.8535
UK,Chronic respiratory diseases,1991,37798.66813
Denmark,Chronic respiratory diseases,2001,4228.476573
San Marino,Chronic respiratory diseases,2002,6.739478981
Czechia,Respiratory infections and tuberculosis,1990,2557.186539
Czechia,Mesothelioma,1991,38.36915383
Czechia,Leukemia,1991,898.8605295
Czechia,Cardiovascular diseases,1991,67874.68603
Croatia,Respiratory infections and tuberculosis,2002,1328.631162
Slovakia,Mesothelioma,1999,12.80020136
Slovakia,Leukemia,1999,326.9994387
Slovakia,Cardiovascular diseases,1999,28040.86172
Denmark,Mesothelioma,2002,88.15624013
Denmark,Leukemia,2002,495.6093077
Ukraine,Respiratory infections and tuberculosis,1991,9359.042065
Luxembourg,Chronic respiratory diseases,1994,189.2837188
Spain,Mesothelioma,1992,280.5593183
Spain,Leukemia,1992,2743.574025
Spain,Cardiovascular diseases,1992,122785.4817
Belarus,Cardiovascular diseases,1993,70680.48108
Belarus,Chronic respiratory diseases,1993,6789.471877
Lithuania,Chronic respiratory diseases,1991,1467.481735
Andorra,Respiratory infections and tuberculosis,1994,8.023269919
Italy,Cardiovascular diseases,1999,225558.2369
Slovakia,Respiratory infections and tuberculosis,1995,2517.122723
North Macedonia,Leukemia,2001,113.1670498
North Macedonia,Cardiovascular diseases,2001,11885.35325
Austria,Respiratory infections and tuberculosis,1992,1451.40491
Lithuania,Chronic respiratory diseases,1992,1388.041746
Norway,Chronic respiratory diseases,2002,2242.734337
Luxembourg,Chronic respiratory diseases,1993,187.6417501
Switzerland,Chronic respiratory diseases,2001,2532.665013
North Macedonia,Chronic respiratory diseases,1997,618.6643834
Denmark,Respiratory infections and tuberculosis,2002,2023.569927
Slovenia,Mesothelioma,1998,14.18066469
Slovenia,Leukemia,1998,141.7738085
Belgium,Chronic respiratory diseases,1999,7142.688049
UK,Mesothelioma,1997,1872.28844
Latvia,Respiratory infections and tuberculosis,2002,657.6650979
Croatia,Mesothelioma,1991,17.83471347
Croatia,Leukemia,1991,344.9218903
Croatia,Cardiovascular diseases,1991,26189.43434
Italy,Chronic respiratory diseases,1999,25286.31589
Hungary,Chronic respiratory diseases,2002,4165.471076
Malta,Respiratory infections and tuberculosis,1998,137.5048531
Czechia,Respiratory infections and tuberculosis,1991,2497.943156
Greece,Cardiovascular diseases,2000,49187.42019
North Macedonia,Chronic respiratory diseases,2001,597.0252674
Montenegro,Mesothelioma,2000,0.963268315
Montenegro,Leukemia,2000,36.4581246
Denmark,Cardiovascular diseases,1991,26522.58351
Finland,Respiratory infections and tuberculosis,2001,2678.169657
Denmark,Chronic respiratory diseases,1991,3335.939604
Slovenia,Cardiovascular diseases,1998,7697.870468
Estonia,Mesothelioma,1993,3.045392368
Lithuania,Respiratory infections and tuberculosis,1994,917.7548454
Republic of Moldova,Mesothelioma,1992,5.069814767
Republic of Moldova,Leukemia,1992,233.71557
Norway,Mesothelioma,1994,91.50530639
Norway,Leukemia,1994,238.4220433
Norway,Cardiovascular diseases,1994,20320.37864
France,Chronic respiratory diseases,2002,19039.05659
Greece,Chronic respiratory diseases,2000,3209.824855
Ukraine,Respiratory infections and tuberculosis,1997,12757.40828
Slovenia,Respiratory infections and tuberculosis,1999,739.204454
Montenegro,Cardiovascular diseases,2000,3069.267709
Portugal,Mesothelioma,2002,33.10472211
UK,Mesothelioma,2001,1908.766079
UK,Respiratory infections and tuberculosis,1997,52237.14126
Luxembourg,Mesothelioma,1999,5.078152696
Republic of Moldova,Cardiovascular diseases,2002,26020.8282
North Macedonia,Mesothelioma,2002,2.02994472
Luxembourg,Respiratory infections and tuberculosis,1993,96.44546736
Montenegro,Respiratory infections and tuberculosis,2001,71.37174527
Slovakia,Mesothelioma,2003,12.222708
Norway,Chronic respiratory diseases,1998,2005.53558
Luxembourg,Respiratory infections and tuberculosis,1999,113.3202834
Norway,Chronic respiratory diseases,1992,1615.832613
Iceland,Mesothelioma,2000,2.35179518
Germany,Mesothelioma,2002,1159.507155
Germany,Leukemia,2002,6513.283291
Germany,Cardiovascular diseases,2002,346346.8172
Portugal,Respiratory infections and tuberculosis,2002,5403.857579
Belarus,Cardiovascular diseases,1999,80480.98426
Germany,Chronic respiratory diseases,2001,31780.40851
Republic of Moldova,Chronic respiratory diseases,2002,1839.777689
Estonia,Respiratory infections and tuberculosis,1993,390.2595424
UK,Respiratory infections and tuberculosis,2001,43916.64878
Slovakia,Leukemia,2003,330.6217467
Slovakia,Cardiovascular diseases,2003,28089.75837
Ireland,Respiratory infections and tuberculosis,2003,2029.390021
North Macedonia,Respiratory infections and tuberculosis,2002,282.6838409
Belarus,Chronic respiratory diseases,1999,6070.463938
Estonia,Leukemia,1998,120.7899461
Italy,Respiratory infections and tuberculosis,1995,9373.348876
Iceland,Respiratory infections and tuberculosis,2000,91.2091158
Poland,Respiratory infections and tuberculosis,2000,9130.510729
Germany,Respiratory infections and tuberculosis,2002,19188.79056
Portugal,Mesothelioma,1998,29.94326007
Greece,Mesothelioma,2001,67.25262784
Greece,Leukemia,2001,1423.289825
Estonia,Cardiovascular diseases,1998,10538.73538
Sweden,Chronic respiratory diseases,2002,3520.16055
Estonia,Leukemia,1993,140.6136256
Estonia,Cardiovascular diseases,1993,11720.76148
Romania,Chronic respiratory diseases,2001,10001.4547
Andorra,Mesothelioma,2003,1.581512322
Andorra,Leukemia,2003,6.273384726
Netherlands,Chronic respiratory diseases,1999,8645.388694
Bos&Herz,Chronic respiratory diseases,1994,1309.214691
Albania,Mesothelioma,1994,2.584710194
Albania,Leukemia,1994,113.8902711
Poland,Chronic respiratory diseases,2002,10644.42508
Estonia,Mesothelioma,1999,3.738574917
Italy,Cardiovascular diseases,2003,221266.2432
Greece,Respiratory infections and tuberculosis,2001,3283.660957
Bos&Herz,Chronic respiratory diseases,2003,1278.885104
Lithuania,Chronic respiratory diseases,1994,1463.325049
Latvia,Respiratory infections and tuberculosis,1992,593.6238247
Portugal,Respiratory infections and tuberculosis,1998,5424.191597
Bos&Herz,Mesothelioma,1994,9.934915533
Bos&Herz,Leukemia,1994,162.8290756
Bos&Herz,Cardiovascular diseases,1994,16062.20217
Andorra,Respiratory infections and tuberculosis,2003,12.15337017
Italy,Chronic respiratory diseases,2003,26468.66458
Malta,Mesothelioma,1995,3.624735673
Malta,Leukemia,1995,23.33683365
Malta,Cardiovascular diseases,1995,1265.617943
Estonia,Respiratory infections and tuberculosis,1999,428.1583082
Slovenia,Respiratory infections and tuberculosis,2003,695.0783347
Switzerland,Mesothelioma,2002,139.7752201
Switzerland,Leukemia,2002,477.5707983
Switzerland,Cardiovascular diseases,2002,24444.80795
Estonia,Chronic respiratory diseases,1994,350.9527035
UK,Mesothelioma,1991,1826.827197
Serbia,Cardiovascular diseases,2000,63488.71773
Serbia,Chronic respiratory diseases,2000,3985.375017
Bos&Herz,Respiratory infections and tuberculosis,1994,899.8254135
Norway,Mesothelioma,1999,71.93117656
Norway,Leukemia,1999,238.5338394
Norway,Cardiovascular diseases,1999,18866.4579
Iceland,Chronic respiratory diseases,2002,83.74821373
Serbia,Mesothelioma,2001,30.11247577
Serbia,Leukemia,2001,644.4035094
Romania,Mesothelioma,2002,61.1180826
Romania,Leukemia,2002,1177.792244
Romania,Cardiovascular diseases,2002,155373.9346
Bulgaria,Mesothelioma,2003,11.38464312
Luxembourg,Mesothelioma,2003,5.498036868
Switzerland,Respiratory infections and tuberculosis,2002,2027.466499
Latvia,Respiratory infections and tuberculosis,1998,684.8328035
Norway,Respiratory infections and tuberculosis,1999,2489.407147
Sweden,Chronic respiratory diseases,1998,3154.753958
Ireland,Chronic respiratory diseases,2001,2185.256922
Belgium,Chronic respiratory diseases,2003,7162.355471
Serbia,Respiratory infections and tuberculosis,2001,1439.381036
Italy,Mesothelioma,2000,1256.919369
Italy,Leukemia,2000,5889.795
Bulgaria,Respiratory infections and tuberculosis,2003,2642.823067
Austria,Mesothelioma,1994,67.51124128
Austria,Leukemia,1994,581.5692788
Austria,Cardiovascular diseases,1994,38675.323
Romania,Respiratory infections and tuberculosis,2002,8979.752333
Estonia,Chronic respiratory diseases,1992,323.4575371
Ireland,Mesothelioma,2002,33.48082232
Ireland,Leukemia,2002,272.6293288
Ireland,Cardiovascular diseases,2002,11133.98482
Belarus,Cardiovascular diseases,2003,84745.4284
Belarus,Chronic respiratory diseases,2003,4818.443675
Albania,Cardiovascular diseases,1994,6190.6786
Romania,Leukemia,1996,1150.804405
Romania,Cardiovascular diseases,1996,166201.8899
Slovenia,Mesothelioma,1995,11.4867674
Slovenia,Leukemia,1995,133.1172042
Slovenia,Cardiovascular diseases,1995,7924.67407
Slovakia,Respiratory infections and tuberculosis,2000,1865.736469
Italy,Respiratory infections and tuberculosis,2000,10339.91599
Luxembourg,Respiratory infections and tuberculosis,2003,122.678188
Lithuania,Chronic respiratory diseases,1999,1102.948722
Cyprus,Mesothelioma,2003,10.34834249
Cyprus,Leukemia,2003,56.83433703
Cyprus,Cardiovascular diseases,2003,2684.558636
Switzerland,Mesothelioma,1998,128.9597419
Switzerland,Leukemia,1998,473.3747779
Spain,Chronic respiratory diseases,1999,29516.74772
Estonia,Mesothelioma,2003,3.017116619
Republic of Moldova,Cardiovascular diseases,1998,23864.90254
Czechia,Chronic respiratory diseases,2003,2485.418424
Cyprus,Respiratory infections and tuberculosis,2003,158.0445495
Slovenia,Chronic respiratory diseases,2001,719.023955
Switzerland,Cardiovascular diseases,1998,25634.81685
Republic of Moldova,Chronic respiratory diseases,1998,1760.951167
Estonia,Respiratory infections and tuberculosis,2003,371.6041056
Cyprus,Chronic respiratory diseases,1992,371.8772118
Belarus,Mesothelioma,1992,42.1704391
Belarus,Leukemia,1992,867.2647409
Netherlands,Chronic respiratory diseases,2003,9194.207016
Switzerland,Respiratory infections and tuberculosis,1998,2290.545625
Latvia,Mesothelioma,1994,8.254157644
Latvia,Leukemia,1994,256.4854333
Latvia,Cardiovascular diseases,1994,23497.25425
Malta,Chronic respiratory diseases,2000,121.6957697
Belarus,Mesothelioma,2000,48.12477106
Belarus,Leukemia,2000,789.5733792
Hungary,Mesothelioma,2003,35.09893018
Hungary,Leukemia,2003,1094.691865
Hungary,Cardiovascular diseases,2003,63277.45193
Finland,Chronic respiratory diseases,2003,1530.487174
Croatia,Chronic respiratory diseases,1994,1263.475852
Belarus,Respiratory infections and tuberculosis,2000,2145.155184
Albania,Respiratory infections and tuberculosis,1994,1851.429735
Lithuania,Chronic respiratory diseases,2003,1044.714448
Slovenia,Chronic respiratory diseases,1995,719.8022858
Malta,Mesothelioma,2001,5.043594435
Norway,Mesothelioma,2003,75.55724422
Hungary,Respiratory infections and tuberculosis,2003,1213.304567
Netherlands,Mesothelioma,2000,461.9516021
Netherlands,Leukemia,2000,1136.4862
Romania,Respiratory infections and tuberculosis,1996,11629.64074
Portugal,Mesothelioma,1992,26.74118466
Netherlands,Cardiovascular diseases,2000,49239.99522
France,Mesothelioma,2003,1020.961164
France,Leukemia,2003,5985.238075
France,Cardiovascular diseases,2003,159153.2388
Norway,Leukemia,2003,243.9311928
Norway,Cardiovascular diseases,2003,16653.917
Republic of Moldova,Mesothelioma,2003,5.849091855
Republic of Moldova,Leukemia,2003,158.7706849
Norway,Respiratory infections and tuberculosis,1994,2977.097574
Netherlands,Respiratory infections and tuberculosis,2000,7859.81498
Republic of Moldova,Cardiovascular diseases,1992,22613.12462
Norway,Respiratory infections and tuberculosis,2003,2219.876287
Republic of Moldova,Respiratory infections and tuberculosis,2003,1593.795576
Monaco,Chronic respiratory diseases,2003,19.50985229
Spain,Mesothelioma,1994,292.6450643
Montenegro,Chronic respiratory diseases,2003,70.29620112
Ukraine,Chronic respiratory diseases,2003,22689.06397
Poland,Mesothelioma,2003,99.43873594
Spain,Chronic respiratory diseases,2003,30647.3428
Iceland,Leukemia,2003,14.38949253
Iceland,Cardiovascular diseases,2003,697.7067233
Spain,Respiratory infections and tuberculosis,1992,9667.672015
Poland,Leukemia,2003,2894.818787
Poland,Cardiovascular diseases,2003,163649.1391
Bulgaria,Leukemia,1992,466.7762803
Bulgaria,Cardiovascular diseases,1992,74062.30384
Portugal,Respiratory infections and tuberculosis,1992,4013.846468
Sweden,Mesothelioma,2003,138.3006666
Sweden,Leukemia,2003,806.969172
Republic of Moldova,Mesothelioma,1994,6.510655317
Luxembourg,Leukemia,1995,40.77367191
Luxembourg,Cardiovascular diseases,1995,1551.537263
Ireland,Mesothelioma,1996,34.11097622
Sweden,Cardiovascular diseases,2003,41146.81624
Belgium,Respiratory infections and tuberculosis,1994,3970.88121
Sweden,Respiratory infections and tuberculosis,2003,3203.862485
Republic of Moldova,Leukemia,1994,233.2987511
Ireland,Leukemia,1996,244.4441934
Ireland,Cardiovascular diseases,1996,13288.21313
Luxembourg,Chronic respiratory diseases,1995,188.0557301
Spain,Leukemia,1994,2786.427202
Spain,Cardiovascular diseases,1994,122546.0464
Belarus,Mesothelioma,1995,47.19051682
Belarus,Leukemia,1995,849.0868567
Malta,Chronic respiratory diseases,1995,115.6813611
San Marino,Mesothelioma,2003,0.403545141
San Marino,Leukemia,2003,3.756892432
San Marino,Cardiovascular diseases,2003,75.56346058
Portugal,Leukemia,1994,769.4648694
Portugal,Cardiovascular diseases,1994,43865.30884
Netherlands,Chronic respiratory diseases,1993,7618.941958
Latvia,Mesothelioma,1992,6.499639688
Latvia,Leukemia,1992,234.6733362
Latvia,Cardiovascular diseases,1992,19917.83646
Bulgaria,Chronic respiratory diseases,1992,3716.386152
Ukraine,Mesothelioma,1994,349.1820518
Republic of Moldova,Chronic respiratory diseases,1992,1835.688054
Ukraine,Leukemia,1994,4703.109891
Ukraine,Cardiovascular diseases,1994,432173.8429
Republic of Moldova,Respiratory infections and tuberculosis,1994,1614.974865
Portugal,Chronic respiratory diseases,1994,4713.313722
Belarus,Respiratory infections and tuberculosis,1995,2011.555497
Belgium,Chronic respiratory diseases,1994,7011.415565
Bulgaria,Mesothelioma,1994,10.6812917
Belarus,Respiratory infections and tuberculosis,1992,1731.118743
Malta,Respiratory infections and tuberculosis,1993,105.6357863
Republic of Moldova,Mesothelioma,1991,5.085407606
Republic of Moldova,Leukemia,1991,256.6814712
Republic of Moldova,Respiratory infections and tuberculosis,1991,1419.435952
Montenegro,Mesothelioma,2004,1.063553503
Montenegro,Leukemia,2004,37.7892373
Montenegro,Cardiovascular diseases,2004,3464.966888
Slovakia,Chronic respiratory diseases,1996,898.9257279
San Marino,Respiratory infections and tuberculosis,1990,4.029222516
Poland,Respiratory infections and tuberculosis,2004,9150.715141
Estonia,Chronic respiratory diseases,1995,326.8944677
Ireland,Chronic respiratory diseases,1996,2433.682539
Spain,Chronic respiratory diseases,1994,24562.64409
Norway,Mesothelioma,1993,99.64222234
Spain,Respiratory infections and tuberculosis,1994,9628.280071
Serbia,Cardiovascular diseases,2004,65941.57025
Serbia,Chronic respiratory diseases,2004,4010.143407
Norway,Leukemia,1993,239.7138808
Norway,Cardiovascular diseases,1993,20737.00923
Netherlands,Mesothelioma,1995,395.632609
Netherlands,Leukemia,1995,1043.416107
Netherlands,Cardiovascular diseases,1995,50608.89273
Ukraine,Chronic respiratory diseases,1994,37178.68626
Norway,Respiratory infections and tuberculosis,1993,3108.022007
Serbia,Mesothelioma,1996,26.89615584
Albania,Chronic respiratory diseases,2004,715.8818952
Serbia,Leukemia,1996,646.6697135
Greece,Cardiovascular diseases,2004,47800.6162
Slovakia,Respiratory infections and tuberculosis,2004,1852.318722
Bulgaria,Respiratory infections and tuberculosis,1994,4179.298052
Greece,Chronic respiratory diseases,2004,3623.324026
Bos&Herz,Mesothelioma,2004,10.30674871
Bos&Herz,Leukemia,2004,197.7312999
Bos&Herz,Cardiovascular diseases,2004,16856.94793
Norway,Chronic respiratory diseases,1993,1697.427117
Bos&Herz,Respiratory infections and tuberculosis,2004,572.1092546
Czechia,Mesothelioma,1994,38.42541329
Czechia,Leukemia,1994,870.0203186
Czechia,Cardiovascular diseases,1994,62669.01256
Ukraine,Chronic respiratory diseases,1991,34768.87683
Malta,Mesothelioma,1993,3.587955818
Iceland,Mesothelioma,2004,2.625380205
Iceland,Respiratory infections and tuberculosis,2004,83.89002026
Croatia,Chronic respiratory diseases,2004,1497.346883
Malta,Leukemia,1993,22.44979719
Malta,Cardiovascular diseases,1993,1285.30119
Latvia,Mesothelioma,1995,7.769248324
Latvia,Leukemia,1995,238.1446087
Latvia,Cardiovascular diseases,1995,22031.53937
Belarus,Mesothelioma,2004,53.917611
Belarus,Leukemia,2004,767.5531747
Czechia,Mesothelioma,2004,42.32597584
Czechia,Leukemia,2004,892.0496018
Czechia,Cardiovascular diseases,2004,53376.71946
Czechia,Respiratory infections and tuberculosis,2004,2781.15998
Belarus,Respiratory infections and tuberculosis,2004,2267.327398
Latvia,Chronic respiratory diseases,1995,672.1932536
Austria,Chronic respiratory diseases,2004,2934.686812
Estonia,Leukemia,1995,132.3138067
Estonia,Cardiovascular diseases,1995,11471.56416
Italy,Mesothelioma,2004,1316.504705
Italy,Leukemia,2004,6131.041472
Belgium,Mesothelioma,2004,223.6064352
Belgium,Leukemia,2004,898.4436432
Belgium,Cardiovascular diseases,2004,34008.59891
Czechia,Respiratory infections and tuberculosis,1994,2529.543735
Italy,Respiratory infections and tuberculosis,2004,9236.608924
Latvia,Chronic respiratory diseases,2004,456.7469229
Serbia,Respiratory infections and tuberculosis,1996,1743.923545
Finland,Mesothelioma,1994,64.38999233
Finland,Leukemia,1994,339.9477515
Finland,Cardiovascular diseases,1994,23275.49505
Lithuania,Mesothelioma,2004,13.74818708
Lithuania,Leukemia,2004,281.8857215
Lithuania,Cardiovascular diseases,2004,21345.92308
Malta,Chronic respiratory diseases,2004,129.1593767
Finland,Mesothelioma,2004,82.70040159
Finland,Leukemia,2004,347.5303864
Finland,Cardiovascular diseases,2004,22076.75732
Lithuania,Respiratory infections and tuberculosis,2004,940.7806808
Netherlands,Mesothelioma,2004,506.9796177
Netherlands,Leukemia,2004,1318.881249
Netherlands,Cardiovascular diseases,2004,44799.17326
Ireland,Respiratory infections and tuberculosis,1996,2244.463433
Netherlands,Respiratory infections and tuberculosis,2004,7547.56864
France,Respiratory infections and tuberculosis,2004,19026.83
Ukraine,Mesothelioma,2004,355.7875637
Lithuania,Mesothelioma,1995,16.50829104
Lithuania,Leukemia,1995,308.4292055
Lithuania,Cardiovascular diseases,1995,23618.87379
Ukraine,Leukemia,2004,3559.08065
Ukraine,Cardiovascular diseases,2004,463552.8614
Sweden,Mesothelioma,1994,127.2454201
Netherlands,Respiratory infections and tuberculosis,1995,6213.658724
Lithuania,Respiratory infections and tuberculosis,1995,933.5324495
Spain,Mesothelioma,2004,379.6394802
Denmark,Cardiovascular diseases,1994,26168.80826
Montenegro,Chronic respiratory diseases,1997,65.15564386
Spain,Leukemia,2004,3126.114949
