Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DNK,63.2375474418472,64.02789665511327,64.89815976796744,65.50100454493837,66.30563551901018,67.07969765282878,67.85704388222507,68.6990646397483,69.4914616109539,70.35167429022356,71.16705138521475,71.93434749459487,72.37830374295372,72.82131964549897,73.81569731256265,74.41489713772746,74.88525050554613,75.05781950859507,75.10868396635894,75.11550341449008,75.36269011135272,75.84976458899251,76.4810043463066,77.06898164670054,77.81062073079838,78.20636829865872,78.85592924407997,79.45080325667107,79.62243887271191,79.85839928085075
EST,62.365518283397584,63.09116787052821,63.77302000132748,64.32180831030384,65.0089420986966,65.69014689106615,66.55399253330614,67.53225075471177,68.46435747191185,68.98341372329284,70.08459839098795,70.76939679375077,71.39931702126829,72.14857945577549,73.27499145215583,74.08109833130611,74.51920997692275,74.96654550076892,75.63180237677369,76.08048568948972,76.59806832310167,77.54722805739796,78.6376155720329,79.82006781242526,80.92903403717808,81.85908601368774,82.03129193108889,82.35405929712536,82.50372305960802,83.13168232403358
FIN,55.30264867653296,56.20935023783634,57.27490821961488,58.074814150974746,58.82602349938587,59.242504301147015,59.64845437529852,60.12334059209563,60.35612941257743,60.49038495021348,61.142906496996076,61.80090641212155,62.71830683883785,63.34400580634478,64.31822671322891,65.23831167562558,66.16852562996932,67.07567576244637,68.02803751898844,68.97891085764992,69.77156935072695,70.36683405601049,71.01775846432339,71.99600523840239,72.6601952190789,73.06665921122632,74.025776888069,74.65384877231489,75.02334063529638,75.30013168994117
FRA,45.90542793793822,45.78214833064238,46.17681450191856,45.66061885681956,45.23751336059162,46.220516611014546,48.429432011650725,49.18313017602604,49.339901128071034,50.76698041379409,51.448246686691476,51.509725482624816,52.301671962006,53.23668640716091,54.20838973006681,55.029176591451,55.55316485268967,56.11182328893913,57.81160974235212,58.81365799497132,60.10597555997656,60.929960993960485,62.22170684639915,64.06904717074703,65.4551403261613,67.53024136113149,69.01666324963637,70.47193459612625,70.45114874702553,70.44297234479325
DEU,69.71908968635658,70.56411971204392,71.4271423002395,72.41894741818086,73.83360698876257,74.59472527878876,75.53415766894419,76.43060454821094,77.39111913979895,78.40757798982885,79.43442349405527,80.57337807019266,81.55096009788721,82.33743875583215,83.320904730819,84.04214085862343,84.74305259171325,85.25748037580155,85.7914622843786,86.16595543994694,86.61568060900555,87.70638239416967,89.10228046470371,90.77867918377886,90.87544113362055,91.21407574092902,91.37772636856977,91.77009189800526,91.42257599123424,91.56332192098941
GRC,61.201520762553244,61.941357553660445,62.813821202198774,63.44509699394412,64.1463872107037,64.65338171708889,65.18066611731386,65.87865421441937,66.26113074050852,66.90657871880393,67.58450024800634,68.26642384000574,68.89725179016996,69.5203816717295,70.7531127105284,71.49537143816598,72.17236095164111,72.87387852004683,73.38118277160062,73.7700370615625,74.4344761085985,75.29288900336506,76.20848223082649,77.26769255405182,78.42861367633955,79.1005594443867,80.32419739495838,80.9345804179393,81.21963847292355,81.4579295449905
HUN,63.6089293786321,64.2397501482446,65.06479484946149,65.59087811820696,66.46315160082273,67.03935951463768,67.8066744408451,68.69299138900698,69.24811912445328,69.92534038742666,70.80613058081205,71.71034597374326,71.94636491220407,72.41930317503409,73.3295664685902,73.97822164242399,74.51505879426713,75.02263430840294,75.76027058660966,76.4424485694486,77.09708777638232,77.9912224073861,78.63099772343094,79.24741942071987,79.88156386225435,80.49985033148941,80.7728762962989,81.32866161510027,81.1758337964544,81.47740614897178
SMR,52.17638801496395,52.7321801914858,53.17732301803758,53.80228328167085,54.28618027561373,54.76301170521701,55.289859113752726,55.74120466460493,56.07879168002499,56.45895419821139,57.08281022006019,57.6867472008453,58.20745501751553,58.82845166761043,59.593595969781376,60.32387671811245,60.83137849879995,60.81585076646463,61.73332026578966,62.23815379608961,62.78418288687122,63.29499838269729,63.79724360894928,64.9123239837774,65.87856477225462,66.43533169874867,67.17656632410794,67.71726513739442,68.01306964759283,68.29864534725347
ROU,37.51763248325446,38.074105431144254,38.34813835880532,38.542144092742966,38.87605797277426,39.13104172151362,39.43417365593724,39.694238302607474,40.5156916962532,41.20017379349994,42.22625050195218,42.9184060313654,43.37074621829973,43.77095356407724,44.927979037961954,45.34003471295754,46.2856474077097,46.69876595805409,47.22711223586718,48.390801839896916,49.30710194521599,49.79613227514777,50.41953179425449,51.47617298598851,52.03536030809981,51.95057843729155,53.388053181715385,53.923195641012235,54.330049212463756,54.562734693912745
PRT,29.443803199385783,29.64073528628005,29.556176980321627,29.81982745844017,30.545030705421958,31.216991270838534,32.44677319912184,33.17062534945359,33.63070324645404,34.26842622826368,35.61783628560522,36.519615978135704,36.788656682024126,37.076798359764055,37.91518979478491,38.06518423400412,38.782898051177234,39.100054210500645,39.79173418548504,40.17088521270046,40.81323470389598,41.17652427997193,41.52121133261139,42.34003411278046,42.83721125397961,43.04087031373756,44.0993096080132,44.566181193182125,44.89843667757679,45.610354730066454
