1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001,64.60000000000001
88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68,88.68
97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59
91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001,91.82000000000001
8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16
90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4
5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003,5.420000000000003
99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6
60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77,60.77
98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79,98.79
86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999,86.94999999999999
94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6
69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47,69.47
72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02,72.02
59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999,59.93999999999999
86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8,86.8
87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001,87.66000000000001
93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99,93.99
99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42,99.42
99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5
51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999,51.46999999999999
95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001,95.96000000000001
