Country,Spent Solvents,"Acid, alkaline or saline wastes",Used Oils,Chemical Wastes,Industrial effluent sludges,Sludges and liquid wastes from waste treatment,Health care and biological wastes,Recyclable wastes,"Metal wastes, ferrous","Metal wastes, non-ferrous",Glass wastes,Paper and cardboard wastes,Rubber wastes,Wood wastes,Plastic wastes,Textile wastes,Equipment,Waste containing PCB,Discarded Equipment,Discarded vehicles,Batteries and accumulators wastes,Animal and vegetal wastes,Animal and mixed food waste,Vegetal wastes,"Animal faeces, urine and manure",Mixed ordinary wastes,Household and similar wastes,Mixed and undifferentiated materials,Sorting residues,Common sludges,Mineral and solidified wastes,Mineral waste from construction and demolition,Other Mineral Waste,Combustion Waste,Soils,Dredging Spoils,Waste treatment and stabilised wastes,Metallic wastes,Animal and mixed food waste
Italy,2 456 596,5 841 643,6 344 928,21 993 923,38 413 117,27 706 950,1 332 000,61 513 561,55 125 628,6 900 826,22 439 203,47 103 060,3 156 771,35 447 310,25 874 851,4 794 667,10 239 161,92 802,5 429 762,22 172 320,1 781 226,27 512 231,27 601 568,18 590 780,2 249 906,112 002 130,174 451 704,46 301 465,116 777 795,34 637 919,237 981 167,226 884 455,34 143 692,71 305 216,83 061 587,480 239,20 953 252,25 177 814,26 028 284
Cyprus,716,16 320,67 995,22 290,296 217,73 356,8 968,1 075 681,52 346,34 164,131 414,900 744,60 127,159 966,326 665,132 340,21 846,92 102,5 237 912,22 066 168,31 228,698 080,304 193,200 864,474 327,1 020 340,2 919 858,769 449,185 374,504 300,1 720 618,1 536 164,2 883 128,4 700,4 158 884,63 481,20 851 594,96 941,358 224
Latvia,4 992,33 810,82 346,151 687,240 996,229 257,23 619,703 632,177 097,34 560,249 806,644 852,85 022,990 621,337 854,3 675,70 190,326,86 103,182 996,54 684,589 774,406 475,541 187,38 724,2 357 255,5 857 069,1 548 511,712 539,365 367,579 825,2 203 125,191 241,784 919,132 958,149,27 508,109 984,551 050
Lithuania,911,53 085,58 873,6 146 956,70 725,13 229,14 941,3 480 300,2 908 313,141 500,735 551,1 227 420,337 256,1 700 054,543 424,73 985,122 023,605,253 645,369 195,101 674,3 904 926,384 159,2 199 893,2 275 757,3 844 297,9 245 239,604 364,3 275 180,567 527,2 153 668,3 935 446,12 739 576,203 318,341 881,4 196,503 592,1 986 909,1 981 133
Luxembourg,17 288,34 134,112 270,185 857,42 041,9 607,11 527,1 304 801,764 148,60 993,537 479,883 694,65 316,779 941,239 693,56 988,37 390,1 337,261 470,296 576,12 468,284 871,257 577,389 145,23 960,694 964,1 910 113,223 986,366 799,113 191,23 703 255,3 768 830,117 269,3 445 059,42 355 950,5 354,695 733,468 830,284 091
Hungary,310 518,244 776,566 351,1 944 031,844 839,1 239 092,275 250,9 429 602,8 077 211,860 645,1 050 820,5 821 413,349 194,2 260 295,1 591 807,226 435,364 619,2 264,468 573,327 860,165 318,9 789 712,1 123 342,1 755 580,7 171 890,13 402 563,29 901 786,3 134 602,4 670 204,3 131 529,28 242 259,17 898 837,2 726 039,25 153 036,12 324 845,416 833,1 564 088,5 322 686,4 362 554
Malta,19 218,8 630,10 504,173 512,4 761,27 823,3 462,103 972,103 312,20 812,47 158,111 656,18 396,68 673,41 465,5 002,23 247,1 218,416 322,467 930,10 280,36 932,74 666,37 983,35 802,808 435,2 067 558,129 502,396 120,54 378,6 989 531,8 438 220,323 189,11 994,29 271,930 703,1 357 301,56 916,34 285
Netherlands,1 266 955,4 843 241,746 665,9 812 186,2 950 231,1 450 480,171 228,25 580 039,8 860 766,1 668 479,5 415 268,21 867 984,1 001 625,22 290 733,4 550 410,1 056 025,1 459 198,2 934,1 942 677,2 380 033,775 645,37 369 965,14 239 139,54 808 910,24 261 278,33 760 856,64 716 892,8 099 507,21 803 804,6 458 779,186 793 307,125 855 118,9 790 704,34 270 122,42 789 299,422 830 714,19 942 035,7 349 194,34 032 039
Austria,370 801,1 626 861,489 105,3 260 807,476 755,570 832,416 024,30 710 435,12 359 905,1 806 445,2 825 969,14 842 843,571 209,25 682 710,4 024 081,691 377,954 917,3 543,2 964 716,3 115 228,214 321,9 742 786,4 504 243,6 927 849,1 533 351,9 970 340,24 026 351,2 211 645,10 918 035,4 283 595,107 669 309,53 980 652,2 355 755,19 215 694,194 512 846,0,24 906 296,4 784 467,8 821 345
Poland,85 111,2 134 609,1 145 996,22 869 270,4 433 242,512 893,1 117 072,26 416 697,34 737 717,2 595 108,8 973 747,14 149 794,748 419,25 622 064,9 590 585,1 001 517,286 691,3 817,2 733 741,1 912 725,355 779,23 956 690,8 701 970,11 610 370,3 114 711,27 326 172,74 320 291,32 831 360,64 552 584,7 969 255,334 364 254,28 446 146,458 651 611,245 648 219,90 883 013,4 578 285,13 090 882,12 308 665,22 787 612
Portugal,201 648,849 686,2 831 302,5 708 220,3 185 067,762 280,549 721,19 385 643,9 138 858,1 017 446,4 248 670,10 289 558,1 965 079,6 818 413,3 122 185,2 008 567,668 428,4 592,2 461 419,1 562 197,524 327,4 652 859,715 903,722 774,483 672,21 036 140,46 591 120,3 821 915,3 111 851,6 956 891,23 786 023,8 059 142,4 309 898,3 970 265,2 563 934,48 538,9 783 609,4 326 467,4 326 598
Romania,12 530,4 615 042,504 818,2 142 528,1 251 607,159 908,251 708,18 258 653,8 573 299,451 930,3 219 902,5 823 569,465 646,20 201 094,3 317 184,696 564,146 895,3 721,1 101 330,1 055 137,323 386,64 622 819,923 044,5 280 881,8 844 959,22 510 881,46 365 286,10 465 227,4 447 492,1 853 394,792 500 588,6 469 272,1 009 854 078,69 799 697,3 549 139,1 714,2 180 520,7 786 497,55 993 523
Slovenia,149 478,31 384,98 903,889 310,703 673,115 564,78 200,4 539 812,2 372 902,225 951,506 448,1 515 596,139 219,3 635 384,490 951,85 292,38 801,2 657,416 395,589 473,49 926,661 817,482 234,623 192,745 716,2 699 950,5 241 364,1 039 890,509 731,853 856,7 903 704,3 818 755,1 867 037,8 320 547,7 934 489,4 710 196,576 845,1 347 908,432 494
Slovakia,36 047,377 472,275 344,997 443,2 371 629,894 706,284 136,5 002 155,6 171 578,360 391,593 060,2 103 102,150 261,4 002 645,1 095 774,142 103,78 163,1 084,336 293,236 185,46 656,3 359 381,388 016,2 367 462,4 660 318,3 924 901,11 770 389,1 107 238,1 049 915,3 017 984,20 293 922,4 328 825,2 620 979,17 781 471,4 829 117,10 895 152,1 463 789,2 329 795,1 527 794
Finland,225 882,3 695 624,399 123,3 201 737,3 076 297,628 798,48 191,45 025 067,2 378 451,531 058,1 323 241,6 439 891,147 854,79 963 138,910 710,99 404,604 371,8 094,881 694,1 283 136,135 919,3 016 817,3 879 624,2 150 574,793 152,7 530 690,14 957 071,7 662 817,4 652 960,4 922 075,159 641 658,44 372 711,445 217 052,19 510 930,69 123 944,794 180,3 803 756,2 136 237,2 505 674
Sweden,406 263,2 543 489,1 500 800,6 436 854,2 304 485,825 360,118 549,29 239 850,10 356 283,1 667 198,2 776 482,12 677 809,622 119,23 060 824,2 327 799,122 950,2 402 628,19 736,2 762 992,5 625 255,309 066,5 093 348,4 152 783,5 391 040,3 911 582,18 126 479,21 988 843,11 211 704,17 232 401,4 446 959,211 401 241,12 838 804,692 986 423,19 662 142,38 309 886,12 014 949,12 787 060,8 084 164,4 812 386
Iceland,2 976,1 550,32 758,467 607,779,120,2 347,162 546,163 672,10 674,59 857,193 837,42 857,229 019,52 666,2 001,150 455,57 123,2 167 943,4 629 883,9 187,267 273,325 841,72 317,110 377,570 714,791 780,904 900,37 905,30 704,99 987,1 849 506,103 575,51 741,325 339,0,10 389 280,20 392,173 784
Liechtenstein,489,133,1 437,6 141,4 898,437,9,25 015,59 322,509,7 123,45 465,102,11 950,1 910,44,438,44 811,42 252,142 510,409,18 342,32 326,31 040,0,9 599,57 217,17 361,1 246,62 764,313 984,312 047,362 309,0,1 845 359,0,0,14 909,18 342
Norway,108 359,2 725 305,514 114,2 012 498,1 561 578,1 222,3 666,7 693 754,535 391,261 032,1 211 430,6 871 941,500 473,9 167 093,1 499 685,97 303,1 795 183,26 566,2 450 811,1 826 394,159 392,3 065 181,3 409 301,1 130 913,1,6 870 417,10 589 378,12 472 028,929 727,1 477 783,6 144 408,11 762 728,545 706,6 676 866,5 533 746,1,373 253,1 077 808,3 065 180
United Kingdom,1 930 817,3 396 662,3 992 027,16 112 099,4 781 970,5 578 568,3 644 369,157 530 117,72 521 944,10 968 469,26 933 863,93 207 978,4 225 583,44 285 338,20 938 714,1 942 894,10 713 391,65 209,9 511 372,21 366 172,2 353 036,34 988 790,16 913 646,30 495 929,1 036 256,201 450 947,294 003 020,56 702 957,60 474 360,18 513 743,441 490 718,311 351 961,84 040 357,40 586 912,275 603 226,110 792 595,9 565 109,83 974 106,34 672 733
Bosnia and Herzegovina,94,4 414,6 648,132 175,208 573,10,35,0,496 598,55 282,47 314,178 333,8 581,1 061 441,73 193,36 021,0,41 999,7 066 059,19 542 012,647,0,137 684,118 116,58 478,0,4 086 536,2 396 999,61,32 406,0,163 892,3 191 579,16 691 135,144 832,239 173,9 199 866,0,0
Montenegro,28,1 866,2 475,16 810,3 416,32,3 461,0,22 736,4 538,14 679,52 714,1 495,76 381,17 231,1 789,0,3 273,5 181,2 219,695,0,43 680,129 610,15 328,0,1 277 010,17 748,146,41 845,0,108 816,1 468 082,1 741 396,619 873,1 714,8 442,0,0
North Macedonia,26,695,20 966,15 086,1 016 233,324,4 156,45 606,178 186,258 165,12 436,718 774,511 965,207 256,164 343,19 054,26,139,19 401,21 577,20 669,6 104,36 189,76 726,86 166,10 211,954 722,92 989,4 849,6 385 247,1 270 173,61 574,3 130 144,3 510 675,21 199,82 641,515,34 556,6 104
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,16 792,20 601,0,0,0,0,0,0,1 228 884,0,0,0,0,0,0,0,0,0,83,0,0
Serbia,149,123 067,39 327,85 702,27 257,948,20 213,0,1 609 257,146 214,84 038,805 864,158 874,378 640,229 221,39 138,0,568,163 940,26 340,42 143,0,140 044,692 660,235 394,0,7 432 847,306 076,144 952,522 824,0,1 346 025,238 988 221,41 110 334,1 178 429,55 257,198 145,0,0
Kosovo,1,0,4 192,2 028,5 665,2,33,0,196 885,18 108,1 560,21 206,2 458,19 489,50 392,35 958,0,2 213,149 851,75 425,485,0,120 113,410 096,2 506,0,2 822 687,14 961,1 133,150 781,0,254 979,891 907,5 438 084,61 325,0,44 355,0,0
