1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
15.310000000000002,15.238000000000001,15.166,15.093999999999998,15.021999999999997,14.949999999999996,15.233999999999996,15.517999999999997,15.801999999999996,16.086,16.369999999999997,16.668,16.965999999999998,17.264,17.561999999999998,17.86,18.104,18.348,18.592,18.836,19.08,19.243999999999996,19.407999999999998,19.571999999999996,19.735999999999997,19.899999999999995,19.899999999999995,19.899999999999995,19.899999999999995,19.899999999999995
13.91,13.826,13.742,13.658000000000001,13.574000000000002,13.490000000000002,13.614,13.738000000000001,13.862,13.986,14.11,14.216,14.322,14.427999999999997,14.533999999999997,14.639999999999997,14.691999999999998,14.744,14.796,14.848,14.900000000000002,14.952000000000002,15.004,15.056,15.107999999999997,15.159999999999997,15.159999999999997,15.159999999999997,15.159999999999997,15.159999999999997
35.41,35.431999999999995,35.45399999999999,35.476,35.498,35.519999999999996,35.559999999999995,35.599999999999994,35.64,35.68,35.72,35.734,35.748,35.762,35.775999999999996,35.79,35.802,35.814,35.826,35.838,35.85,35.868,35.886,35.904,35.922000000000004,35.940000000000005,35.940000000000005,35.940000000000005,35.940000000000005,35.940000000000005
16.679999999999996,16.467999999999996,16.255999999999997,16.044,15.832,15.620000000000001,15.806000000000001,15.991999999999999,16.177999999999997,16.363999999999997,16.549999999999997,16.738,16.926000000000002,17.114,17.302000000000003,17.490000000000006,17.646000000000004,17.802000000000003,17.958,18.113999999999997,18.269999999999996,18.353999999999996,18.437999999999995,18.521999999999995,18.605999999999995,18.689999999999994,18.689999999999994,18.689999999999994,18.689999999999994,18.689999999999994
31.55,31.558,31.566,31.573999999999998,31.581999999999997,31.589999999999996,31.605999999999998,31.621999999999996,31.637999999999998,31.653999999999996,31.669999999999998,31.674,31.677999999999997,31.682,31.685999999999996,31.689999999999998,31.691999999999997,31.693999999999996,31.695999999999998,31.697999999999997,31.699999999999996,31.705999999999996,31.712,31.718,31.724000000000004,31.730000000000004,31.730000000000004,31.730000000000004,31.730000000000004,31.730000000000004
12.870000000000005,13.032000000000004,13.194000000000004,13.356000000000003,13.518000000000004,13.680000000000003,14.882000000000001,16.084,17.286,18.488,19.689999999999998,19.787999999999997,19.886,19.983999999999998,20.082,20.18,20.448,20.715999999999998,20.983999999999998,21.251999999999995,21.519999999999996,21.766,22.012,22.258,22.504,22.750000000000004,22.750000000000004,22.750000000000004,22.750000000000004,22.750000000000004
26.359999999999996,26.221999999999998,26.084,25.946,25.808000000000003,25.670000000000005,25.684000000000005,25.698,25.712,25.725999999999996,25.739999999999995,26.048,26.355999999999998,26.664,26.972,27.280000000000005,27.426000000000005,27.572000000000003,27.718000000000004,27.864,28.01,28.184,28.358,28.531999999999996,28.705999999999996,28.879999999999995,28.879999999999995,28.879999999999995,28.879999999999995,28.879999999999995
18.930000000000003,18.796000000000003,18.662000000000003,18.528,18.394,18.259999999999998,18.368,18.475999999999996,18.583999999999996,18.691999999999993,18.799999999999994,18.907999999999994,19.016,19.124,19.232000000000003,19.340000000000003,19.366000000000003,19.392000000000003,19.418,19.444,19.47,19.532,19.593999999999998,19.656,19.717999999999996,19.779999999999998,19.779999999999998,19.779999999999998,19.779999999999998,19.779999999999998
17.100000000000005,17.132000000000005,17.164,17.196,17.227999999999998,17.259999999999998,17.293999999999997,17.328,17.362,17.396,17.43,17.45,17.47,17.490000000000002,17.51,17.53,17.538,17.546,17.554,17.561999999999998,17.569999999999997,17.586,17.601999999999997,17.618,17.633999999999997,17.65,17.65,17.65,17.65,17.65
33.98,33.928,33.876,33.824000000000005,33.772000000000006,33.720000000000006,33.822,33.92400000000001,34.026,34.12800000000001,34.230000000000004,34.440000000000005,34.650000000000006,34.86,35.07,35.28,35.4,35.52,35.64,35.760000000000005,35.88,36.028,36.176,36.324,36.472,36.62,36.62,36.62,36.62,36.62
33.86,33.942,34.024,34.106,34.188,34.27,34.364000000000004,34.458000000000006,34.552,34.646,34.74,34.776,34.812,34.848,34.88399999999999,34.919999999999995,34.913999999999994,34.907999999999994,34.902,34.896,34.89,34.954,35.018,35.081999999999994,35.145999999999994,35.209999999999994,35.209999999999994,35.209999999999994,35.209999999999994,35.209999999999994
37.980000000000004,37.842000000000006,37.704,37.566,37.428,37.29,37.478,37.666,37.854,38.041999999999994,38.23,38.361999999999995,38.494,38.626,38.758,38.89,38.892,38.894,38.896,38.897999999999996,38.9,38.928,38.955999999999996,38.984,39.012,39.04,39.04,39.04,39.04,39.04
34.64,34.61,34.58,34.55,34.519999999999996,34.489999999999995,34.587999999999994,34.68599999999999,34.784,34.882,34.98,35.022,35.064,35.105999999999995,35.147999999999996,35.19,35.198,35.205999999999996,35.214,35.221999999999994,35.23,35.251999999999995,35.274,35.296,35.318000000000005,35.34,35.34,35.34,35.34,35.34
30.910000000000004,30.928000000000004,30.946000000000005,30.964000000000006,30.982000000000006,31.000000000000007,31.054000000000006,31.108000000000004,31.162,31.215999999999998,31.269999999999996,31.291999999999994,31.313999999999997,31.335999999999995,31.357999999999997,31.379999999999995,31.381999999999994,31.383999999999997,31.385999999999996,31.387999999999998,31.389999999999997,31.421999999999997,31.453999999999997,31.486,31.518,31.55,31.55,31.55,31.55,31.55
